time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-04-22 23:14:23.170,-10.3385,165.1495,9.44,5.4,mb,,37,5.203,0.74,us,us20005l30,2016-04-22 23:45:37.255,"85km WNW of Lata, Solomon Islands",earthquake,6.4,3.6,0.036,256,reviewed,us,us
2016-04-22 23:00:59.250,21.9011,102.2824,10,4.5,mb,,59,4.386,0.87,us,us20005l2s,2016-04-22 23:26:03.220,"30km NE of Phongsali, Laos",earthquake,3.7,1.9,0.075,52,reviewed,us,us
2016-04-22 22:50:46.470,37.9248352,-123.0913315,-0.04,3.23,ml,60,180,0.09128,0.31,nc,nc72626350,2016-04-23 00:18:03.542,"28km SW of Inverness, California",earthquake,1.08,1.75,0.301,15,automatic,nc,nc
2016-04-22 22:37:39.100,18.7476,-66.4984,49,2.5,Md,12,244.8,0.46622563,0.17,pr,pr16113007,2016-04-22 23:13:25.040,"31km N of  ierras Nuevas Poniente, Puerto Rico",earthquake,1.1,2.2,0,8,reviewed,pr,pr
2016-04-22 21:42:20.830,49.3553,153.1684,173.78,4.4,mb,,102,4.713,0.51,us,us20005l20,2016-04-22 22:06:51.223,"257km WSW of Severo-Kuril'sk, Russia",earthquake,10.9,8.4,0.047,130,reviewed,us,us
2016-04-22 19:38:11.890,-4.4532,94.3395,15.52,5.2,mb,,76,6.569,0.82,us,us20005l0c,2016-04-22 19:53:58.731,"Southwest of Sumatra, Indonesia",earthquake,8.9,4.3,0.06,92,reviewed,us,us
2016-04-22 18:47:56.680,1.5452,126.4984,52.21,5,mb,,64,1.159,1.01,us,us20005kyg,2016-04-22 19:56:19.938,"128km NW of Kota  ernate, Indonesia",earthquake,7.6,5.5,0.052,117,reviewed,us,us
2016-04-22 18:28:10.810,-11.785,124.3901,45.53,4.4,mb,,84,3.779,1.44,us,us20005kyb,2016-04-22 19:21:52.203,"199km SSE of Kupang, Indonesia",earthquake,7.8,5.7,0.144,14,reviewed,us,us
2016-04-22 15:55:50.520,-23.5994,-71.1758,17.18,4.7,mb,,142,0.576,0.98,us,us20005kx4,2016-04-22 16:26:00.809,"79km W of Antofagasta, Chile",earthquake,5.1,5.3,0.158,12,reviewed,us,us
2016-04-22 15:49:43.300,18.6741,-64.4795,62,2.9,Md,4,324,0.43927617,0.1,pr,pr16113005,2016-04-22 21:36:05.598,"31km NNE of Road  own, British Virgin Islands",earthquake,3.5,1.9,0,3,reviewed,pr,pr
2016-04-22 15:40:23.260,-10.6634,165.162,43.39,4.9,mb,,209,5.153,0.88,us,us20005kx0,2016-04-22 16:04:45.166,"73km W of Lata, Solomon Islands",earthquake,13.1,12,0.123,21,reviewed,us,us
